,0,1,2,3
6052,27,hangin,IsA,hanging
6062,27,wit,HasContext,wit
6065,27,wit,FormOf,wit
6075,27,wronged,DerivedFrom,wronged
6088,27,wronged,RelatedTo,wrong
6090,27,wronged,FormOf,wrong
6093,27,terrible,RelatedTo,terrible
6111,27,person,RelatedTo,human
6112,27,person,CapableOf,cross a street
6113,27,person,CapableOf,thank another person
6114,27,person,CapableOf,voice an opinion
6115,27,person,CapableOf,wind clock
6118,27,person,Desires,a headache
6119,27,person,Desires,clothing
6120,27,person,IsA,a person
6121,27,person,NotDesires,be diseased
6122,27,person,RelatedTo,people
6123,27,person,PartOf,society
6124,27,person,CapableOf,board a plane
6125,27,person,CapableOf,laugh at a joke
6126,27,person,CapableOf,water a plant
6127,27,person,NotDesires,break a leg
6128,27,person,Desires,compliments
6131,27,wont,Synonym,habit
6137,27,wont,RelatedTo,habitual
6138,27,wont,FormOf,wont
6144,27,wont,RelatedTo,meo more
6145,27,even,DistinctFrom,odd
6154,27,even,Synonym,level
6156,27,even,SimilarTo,lap-jointed
6160,27,even,Synonym,yet
6170,27,bother,MannerOf,confuse
